identifier,village_name,lat,lon,viirs_radiance,solar_radiation_j,landuse_code,terrain_slope_deg,ndvi,worldpop_density,rainfall_mm
,GBÉGOUROU,9.971924,3.025313,0.28333333,6.27808496578776E8,20,0.62326294,0.41508323,0.45109594,1226.8209711015224
,Location #16927,9.766736,2.140394,0.3575,6.151047632454427E8,30,0.78861505,0.2998741,0.3156789,1258.832055568695
,Kpebera,10.432189,2.659503,0.3275,6.37429191578776E8,40,0.63342625,0.29721376,0.254441,1125.3498284220695
,Ouara,10.611742,2.695579,0.2925,6.425656762454427E8,40,0.94064593,0.26153588,0.28300625,1075.9196238517761
,Location #16903,11.517162,2.642087,0.3125,6.555112254121094E8,40,0.5270107,0.3197061,0.57987255,947.7464767694473
,Guinagourou,9.575768,2.960928,0.35083333,6.12435762078776E8,40,1.8045311,0.42259362,0.6902385,1198.929377913475
,Korowi,10.862801,3.67932,0.32083333,6.52828727078776E8,40,0.57216346,0.27379227,0.23674276,1198.4172977805138
,Sompérekou,11.262353,2.538953,0.325,6.540374072454427E8,40,0.5266274,0.30547345,0.5407973,1009.1083765206859
,Gbéniki,11.314677,2.314908,0.3175,6.518609064121094E8,40,0.4897963,0.3105162,0.6310619,1026.2068724036217
,Location #16934,9.94412,1.682487,0.32,6.155884304121094E8,20,1.4341165,0.4184745,0.58216155,1300.9512679576874
,Ferme Wawarou,10.878266,2.067488,0.29833335,6.451468617454427E8,20,0.49687088,0.4039263,0.29560396,1141.5013669729233
,Iboto,11.441339,2.483235,0.32416666,6.551547637454427E8,40,0.5268952,0.31670955,0.9688858,968.9210119247437
,Location #16910,11.509419,2.408427,0.29749998,6.54060131578776E8,30,1.0136472,0.3193594,0.7882853,920.991144657135
,Location #16892,11.224567,2.197779,0.29833335,6.508290629121094E8,20,0.7000323,0.3429567,0.4646101,1027.388028293848
,Location #16914,11.177907,2.179297,0.31916666,6.508290629121094E8,40,0.49864745,0.3452976,0.3448239,1047.9124940633774
,Location #16901,11.086017,2.314375,0.3075,6.51119683078776E8,40,0.87998694,0.32307103,0.44720528,1068.3907360732555
,Monlor Monlor,11.319894,3.37021,0.32916668,6.56130048578776E8,40,0.782712,0.28285992,0.13261561,923.5302972048521
